SRR,sample,condition,group_or_time_point,batch,biol_rep,tech_rep,run,library_layout,read_length
none,bA1,active_Btgh,1,3,1,1,1,PAIRED - ,40
none,bA2,active_Btgh,1,3,2,1,1,PAIRED - ,40
none,bA3,active_Btgh,1,3,3,1,1,PAIRED - ,40
none,bA4,active_Btgh,1,3,4,1,1,PAIRED - ,40
none,bA5,active_Btgh,1,3,5,1,1,PAIRED - ,40
none,bD1,dead_Btgh,1,3,1,1,1,PAIRED - ,40
none,bD2,dead_Btgh,1,3,2,1,1,PAIRED - ,40
none,bD3,dead_Btgh,1,3,3,1,1,PAIRED - ,40
none,bD4,dead_Btgh,1,3,4,1,1,PAIRED - ,40
none,bD5,dead_Btgh,1,3,5,1,1,PAIRED - ,40
none,bC1,non_injected,1,3,1,1,1,PAIRED - ,40
none,bC2,non_injected,1,3,2,1,1,PAIRED - ,40
none,bC3,non_injected,1,3,3,1,1,PAIRED - ,40
none,bC4,non_injected,1,3,4,1,1,PAIRED - ,40
none,bC5,non_injected,1,3,5,1,1,PAIRED - ,40
none,bC6,non_injected,1,3,6,1,1,PAIRED - ,40
none,bC7,non_injected,1,3,7,1,1,PAIRED - ,40
none,bC9,non_injected,1,3,8,1,1,PAIRED - ,40
none,bC10,non_injected,1,2,9,1,1,PAIRED - ,40
none,bC11,non_injected,1,2,10,1,1,PAIRED - ,40
none,bC12,non_injected,1,2,11,1,1,PAIRED - ,40
none,bD23,dead_Btgh,1,1,20,1,1,PAIRED - ,40
none,bA6,active_Btgh,1,2,6,1,1,PAIRED - ,40
none,bA7,active_Btgh,1,2,7,1,1,PAIRED - ,40
none,bA8,active_Btgh,1,2,8,1,1,PAIRED - ,40
none,bA9,active_Btgh,1,2,9,1,1,PAIRED - ,40
none,bA10,active_Btgh,1,2,10,1,1,PAIRED - ,40
none,bA11,active_Btgh,1,2,11,1,1,PAIRED - ,40
none,bA12,active_Btgh,1,2,12,1,1,PAIRED - ,40
none,bA13,active_Btgh,1,2,13,1,1,PAIRED - ,40
none,bA14,active_Btgh,1,2,14,1,1,PAIRED - ,40
none,bA15,active_Btgh,1,2,15,1,1,PAIRED - ,40
none,bD6,dead_Btgh,1,2,6,1,1,PAIRED - ,40
none,bD7,dead_Btgh,1,2,7,1,1,PAIRED - ,40
none,bD8,dead_Btgh,1,2,8,1,1,PAIRED - ,40
none,bD9,dead_Btgh,1,2,9,1,1,PAIRED - ,40
none,bD10,dead_Btgh,1,2,10,1,1,PAIRED - ,40
none,bD11,dead_Btgh,1,2,11,1,1,PAIRED - ,40
none,bD15,dead_Btgh,1,2,12,1,1,PAIRED - ,40
none,bD16,dead_Btgh,1,2,13,1,1,PAIRED - ,40
none,bD17,dead_Btgh,1,2,14,1,1,PAIRED - ,40
none,bD18,dead_Btgh,1,2,15,1,1,PAIRED - ,40
none,bC14,non_injected,1,1,12,1,1,PAIRED - ,40
none,bC15,non_injected,1,1,13,1,1,PAIRED - ,40
none,bC16,non_injected,1,1,14,1,1,PAIRED - ,40
none,bC17,non_injected,1,1,15,1,1,PAIRED - ,40
none,bC18,non_injected,1,1,16,1,1,PAIRED - ,40
none,bC19,non_injected,1,1,17,1,1,PAIRED - ,40
none,bC20,non_injected,1,1,18,1,1,PAIRED - ,40
none,bC24,non_injected,1,1,19,1,1,PAIRED - ,40
none,bC25,non_injected,1,1,20,1,1,PAIRED - ,40
none,bC26,non_injected,1,1,21,1,1,PAIRED - ,40
none,bC27,non_injected,1,1,22,1,1,PAIRED - ,40
none,bC28,non_injected,1,1,23,1,1,PAIRED - ,40
none,bA16,active_Btgh,1,1,16,1,1,PAIRED - ,40
none,bA17,active_Btgh,1,1,17,1,1,PAIRED - ,40
none,bA18,active_Btgh,1,1,18,1,1,PAIRED - ,40
none,bA19,active_Btgh,1,1,19,1,1,PAIRED - ,40
none,bD19,dead_Btgh,1,1,16,1,1,PAIRED - ,40
none,bD20,dead_Btgh,1,1,17,1,1,PAIRED - ,40
none,bD21,dead_Btgh,1,1,18,1,1,PAIRED - ,40
none,bD22,dead_Btgh,1,1,19,1,1,PAIRED - ,40
